0.5 0.5 0.5 0.5
cleanest 0.429 0.571 0.857 0.143
bagels 0.667 0.333 0.500 0.500
troubles 0.500 0.500 0.500 0.500
hot 0.538 0.462 0.323 0.677
maid 0.375 0.625 0.344 0.656
voiced 0.250 0.750 0.250 0.750
policy 0.789 0.211 0.158 0.842
mail 0.875 0.125 0.250 0.750
main 0.735 0.265 0.324 0.676
decades 0.800 0.200 0.400 0.600
instantly 0.571 0.429 0.571 0.429
tucked 0.800 0.200 0.400 0.600
views 0.524 0.476 0.825 0.175
matches 0.600 0.400 0.400 0.600
regarding 0.375 0.625 0.375 0.625
lunch 0.636 0.364 0.545 0.455
compelled 0.750 0.250 0.250 0.750
arriving 0.467 0.533 0.200 0.800
sorted 0.400 0.600 0.200 0.800
matched 0.286 0.714 0.143 0.857
hancock 0.923 0.077 0.923 0.077
rock 0.368 0.632 0.462 0.538
repaired 0.400 0.600 0.200 0.800
square 0.500 0.500 0.500 0.500
receipt 0.333 0.667 0.167 0.833
availability 0.400 0.600 0.800 0.200
entering 0.222 0.778 0.167 0.833
fingertips 0.250 0.750 0.750 0.250
girl 0.429 0.571 0.238 0.762
summary 0.571 0.429 0.143 0.857
living 0.520 0.480 0.720 0.280
undergoing 0.600 0.400 0.200 0.800
3rd 0.933 0.067 0.400 0.600
uninspired 0.750 0.250 0.250 0.750
owned 0.500 0.500 0.250 0.750
seriously 0.727 0.273 0.182 0.818
nominal 0.200 0.800 0.400 0.600
correct 0.706 0.294 0.118 0.882
earlier 0.522 0.478 0.261 0.739
hefty 0.600 0.400 0.400 0.600
million 0.333 0.667 0.333 0.667
quite 0.577 0.423 0.432 0.568
bringing 0.333 0.667 0.556 0.444
g 0.500 0.500 0.750 0.250
complicated 0.500 0.500 0.250 0.750
besides 0.200 0.800 0.400 0.600
grandma 0.750 0.250 0.750 0.250
remainder 0.333 0.667 0.167 0.833
thinks 0.600 0.400 0.400 0.600
advance 0.650 0.350 0.200 0.800
language 0.750 0.250 0.250 0.750
waiter 0.615 0.385 0.385 0.615
modest 0.750 0.250 0.250 0.750
thing 0.494 0.506 0.345 0.655
funky 0.800 0.200 0.500 0.500
massive 0.600 0.400 0.400 0.600
think 0.534 0.466 0.267 0.733
waited 0.600 0.400 0.100 0.900
exotic 0.250 0.750 0.750 0.250
placing 0.400 0.600 0.200 0.800
saving 0.714 0.286 0.286 0.714
spoken 0.500 0.500 0.500 0.500
crib 0.125 0.875 0.375 0.625
benedict 0.500 0.500 0.750 0.250
mignon 0.667 0.333 0.167 0.833
carry 0.231 0.769 0.154 0.846
sounds 0.500 0.500 0.125 0.875
open 0.829 0.171 0.214 0.786
cheesy 0.600 0.400 0.600 0.400
little 0.615 0.385 0.487 0.513
bite 0.500 0.500 0.500 0.500
slept 0.607 0.393 0.571 0.429
anyone 0.276 0.724 0.495 0.505
processed 0.750 0.250 0.250 0.750
stuffed 0.500 0.500 0.250 0.750
speaking 0.571 0.429 0.143 0.857
eyes 0.222 0.778 0.444 0.556
purchase 0.600 0.400 0.200 0.800
massages 0.143 0.857 0.857 0.143
ridiculous 0.571 0.429 0.107 0.893
fooled 0.500 0.500 0.250 0.750
serves 0.800 0.200 0.600 0.400
boyfriend 0.750 0.250 0.500 0.500
11 0.938 0.062 0.375 0.625
10 0.615 0.385 0.354 0.646
13 0.500 0.500 0.125 0.875
12 0.700 0.300 0.300 0.700
15 0.627 0.373 0.196 0.804
14 0.875 0.125 0.125 0.875
17 0.778 0.222 0.333 0.667
18 0.250 0.750 0.250 0.750
gotta 0.500 0.500 0.250 0.750
victorian 0.500 0.500 0.500 0.500
future 0.529 0.471 0.559 0.441
glossy 0.500 0.500 0.500 0.500
college 0.385 0.615 0.308 0.692
suggestions 0.833 0.167 0.667 0.333
san 0.500 0.500 0.500 0.500
nicer 0.609 0.391 0.304 0.696
appreciate 0.667 0.333 0.444 0.556
seal 0.500 0.500 0.250 0.750
turned 0.200 0.800 0.267 0.733
locations 0.750 0.250 0.583 0.417
alley 0.800 0.200 0.100 0.900
voices 0.250 0.750 0.250 0.750
pastry 0.400 0.600 0.800 0.200
saw 0.588 0.412 0.294 0.706
sat 0.476 0.524 0.238 0.762
speakers 0.500 0.500 0.500 0.500
cigarettes 0.143 0.857 0.143 0.857
efficient 0.867 0.133 0.867 0.133
aside 0.500 0.500 0.600 0.400
shocked 0.545 0.455 0.273 0.727
instructed 0.500 0.500 0.250 0.750
note 0.667 0.333 0.292 0.708
potential 0.250 0.750 0.250 0.750
supply 0.750 0.250 0.375 0.625
wanting 0.467 0.533 0.400 0.600
personalized 0.333 0.667 0.500 0.500
atop 0.250 0.750 0.750 0.250
channel 0.375 0.625 0.250 0.750
jungle 0.750 0.250 0.750 0.250
200 0.500 0.500 0.250 0.750
printer 0.750 0.250 0.250 0.750
theatre 0.455 0.545 0.636 0.364
opposite 0.556 0.444 0.444 0.556
arguing 0.286 0.714 0.143 0.857
cheesecake 0.800 0.200 0.800 0.200
knew 0.447 0.553 0.500 0.500
paid 0.637 0.363 0.275 0.725
20% 0.600 0.400 0.400 0.600
printed 0.600 0.400 0.300 0.700
sheets 0.391 0.609 0.145 0.855
pair 0.375 0.625 0.375 0.625
queens 0.833 0.167 0.333 0.667
sutton 0.800 0.200 0.200 0.800
especially 0.468 0.532 0.571 0.429
surprising 0.429 0.571 0.571 0.429
average 0.514 0.486 0.189 0.811
drive 0.632 0.368 0.316 0.684
sodas 0.750 0.250 0.500 0.500
backdrop 0.250 0.750 0.500 0.500
link 0.750 0.250 0.250 0.750
shop 0.533 0.467 0.600 0.400
rating 0.722 0.278 0.333 0.667
walking 0.667 0.333 0.768 0.232
shot 0.400 0.600 0.400 0.600
cherry 0.500 0.500 0.250 0.750
show 0.486 0.514 0.405 0.595
contemporary 0.364 0.636 0.545 0.455
bright 0.647 0.353 0.235 0.765
inconsistent 0.800 0.200 0.200 0.800
pump 0.571 0.429 0.905 0.095
corner 0.704 0.296 0.463 0.537
imagined 0.250 0.750 0.125 0.875
slow 0.558 0.442 0.154 0.846
enough 0.515 0.485 0.347 0.653
junior 0.375 0.625 0.750 0.250
black 0.500 0.500 0.167 0.833
equipped 0.467 0.533 0.867 0.133
directed 0.571 0.429 0.286 0.714
beatles 0.714 0.286 0.571 0.429
suitcases 0.500 0.500 0.167 0.833
assistant 0.625 0.375 0.375 0.625
between 0.656 0.344 0.250 0.750
designated 0.500 0.500 0.250 0.750
overhang 0.750 0.250 0.250 0.750
nearly 0.417 0.583 0.208 0.792
gem 0.833 0.167 0.833 0.167
gel 0.500 0.500 0.500 0.500
prime 0.500 0.500 0.750 0.250
settings 0.500 0.500 0.250 0.750
sum 0.500 0.500 0.500 0.500
skyline 0.267 0.733 0.733 0.267
stupid 0.500 0.500 0.333 0.667
where 0.504 0.496 0.408 0.592
16th 0.750 0.250 0.250 0.750
sirens 0.750 0.250 0.125 0.875
honesty 0.750 0.250 0.250 0.750
espn 0.500 0.500 0.500 0.500
breathtaking 0.312 0.688 0.938 0.062
seat 0.733 0.267 0.400 0.600
ballrooms 0.500 0.500 0.750 0.250
anyways 0.500 0.500 0.250 0.750
impressions 0.167 0.833 0.167 0.833
surgery 0.750 0.250 0.250 0.750
cheerfully 0.500 0.500 0.250 0.750
wonder 0.500 0.500 0.200 0.800
curry 0.250 0.750 0.250 0.750
sites 0.538 0.462 0.462 0.538
behind 0.448 0.552 0.241 0.759
moldy 0.625 0.375 0.125 0.875
permeated 0.500 0.500 0.250 0.750
refreshed 0.250 0.750 0.750 0.250
teens 0.750 0.250 0.250 0.750
reading 0.630 0.370 0.407 0.593
checks 0.600 0.400 0.200 0.800
oversized 0.600 0.400 0.400 0.600
fight 0.250 0.750 0.500 0.500
jobs 0.286 0.714 0.286 0.714
august 0.600 0.400 0.600 0.400
useful 0.667 0.333 0.667 0.333
screen 0.490 0.510 0.837 0.163
marley 0.500 0.500 0.500 0.500
spare 0.667 0.333 0.167 0.833
toothpaste 0.500 0.500 0.500 0.500
tub 0.727 0.273 0.345 0.655
blame 0.750 0.250 0.250 0.750
dates 0.333 0.667 0.167 0.833
trader 0.750 0.250 0.500 0.500
according 0.200 0.800 0.600 0.400
restroom 0.250 0.750 0.250 0.750
loudly 0.600 0.400 0.200 0.800
disappointment 0.500 0.500 0.100 0.900
grooming 0.250 0.750 0.250 0.750
furnitures 0.750 0.250 0.250 0.750
backpack 0.750 0.250 0.500 0.500
breakfasts 0.889 0.111 0.556 0.444
among 0.400 0.600 0.600 0.400
flavorless 0.500 0.500 0.250 0.750
storing 0.750 0.250 0.750 0.250
effective 0.500 0.500 0.500 0.500
twin 0.667 0.333 0.333 0.667
cancel 0.917 0.083 0.083 0.917
consider 0.600 0.400 0.500 0.500
boat 0.571 0.429 0.429 0.571
considering 0.414 0.586 0.276 0.724
unusual 0.500 0.500 0.500 0.500
west 0.667 0.333 0.500 0.500
vacation 0.127 0.873 0.619 0.381
mark 0.455 0.545 0.273 0.727
breath 0.167 0.833 0.667 0.333
combined 0.500 0.500 0.500 0.500
wants 0.455 0.545 0.636 0.364
influence 0.750 0.250 0.500 0.500
offered 0.394 0.606 0.364 0.636
regency 0.190 0.810 0.429 0.571
photos 0.611 0.389 0.222 0.778
wake 0.312 0.688 0.375 0.625
those 0.514 0.486 0.600 0.400
sound 0.562 0.438 0.344 0.656
predicament 0.500 0.500 0.250 0.750
slumber 0.400 0.600 0.600 0.400
worried 0.294 0.706 0.471 0.529
resturant 0.667 0.333 0.500 0.500
warning 0.400 0.600 0.200 0.800
newspaper 0.500 0.500 0.500 0.500
situation 0.571 0.429 0.179 0.821
penthouse 0.333 0.667 0.833 0.167
ive 0.333 0.667 0.833 0.167
bathrooms 0.639 0.361 0.583 0.417
eventually 0.684 0.316 0.053 0.947
sleeping 0.364 0.636 0.318 0.682
ribeye 0.250 0.750 0.750 0.250
middle 0.533 0.467 0.267 0.733
sudden 0.500 0.500 0.750 0.250
clip 0.250 0.750 0.250 0.750
baths 0.750 0.250 0.750 0.250
protein 0.500 0.500 0.250 0.750
technology 0.750 0.250 0.500 0.500
everyday 0.400 0.600 0.800 0.200
woken 0.600 0.400 0.200 0.800
bags 0.383 0.617 0.298 0.702
different 0.568 0.432 0.358 0.642
dragging 0.250 0.750 0.250 0.750
pay 0.458 0.542 0.177 0.823
oven 0.800 0.200 0.600 0.400
tour 0.333 0.667 0.778 0.222
same 0.657 0.343 0.179 0.821
surveillance 0.333 0.667 0.167 0.833
pad 0.600 0.400 0.400 0.600
patrons 0.222 0.778 0.111 0.889
stepped 0.286 0.714 0.571 0.429
dated 0.765 0.235 0.059 0.941
smallest 0.833 0.167 0.167 0.833
exhaust 0.800 0.200 0.200 0.800
oil 0.250 0.750 0.500 0.500
assist 0.429 0.571 0.714 0.286
runny 0.500 0.500 0.500 0.500
running 0.619 0.381 0.190 0.810
edges 0.667 0.333 0.167 0.833
wired 0.600 0.400 0.600 0.400
1pm 0.800 0.200 0.200 0.800
totally 0.615 0.385 0.385 0.615
drain 0.857 0.143 0.286 0.714
largely 0.250 0.750 0.750 0.250
costs 0.526 0.474 0.474 0.526
solve 0.750 0.250 0.500 0.500
bottle 0.792 0.208 0.333 0.667
trains 0.750 0.250 0.250 0.750
bumping 0.500 0.500 0.250 0.750
amazed 0.300 0.700 0.800 0.200
summer 0.458 0.542 0.458 0.542
manicure 0.250 0.750 0.750 0.250
money 0.451 0.549 0.133 0.867
sights 0.600 0.400 0.733 0.267
rest 0.364 0.636 0.242 0.758
slimy 0.250 0.750 0.250 0.750
scrape 0.750 0.250 0.250 0.750
aspect 0.143 0.857 0.857 0.143
flavor 0.250 0.750 0.125 0.875
guys 0.900 0.100 0.400 0.600
downright 0.500 0.500 0.500 0.500
deceiving 0.200 0.800 0.200 0.800
mcdonald 0.500 0.500 0.250 0.750
color 0.300 0.700 0.500 0.500
constant 0.500 0.500 0.167 0.833
extensive 0.375 0.625 0.500 0.500
aspects 0.500 0.500 0.333 0.667
docks 0.250 0.750 0.500 0.500
dark 0.750 0.250 0.156 0.844
traffic 0.364 0.636 0.227 0.773
preference 0.750 0.250 0.500 0.500
mom 0.571 0.429 0.714 0.286
vacuum 0.167 0.833 0.167 0.833
world 0.520 0.480 0.400 0.600
blankets 0.500 0.500 0.200 0.800
vending 0.571 0.429 0.143 0.857
maintained 0.600 0.400 0.600 0.400
yearly 0.500 0.500 0.500 0.500
server 0.250 0.750 0.375 0.625
facing 0.933 0.067 0.400 0.600
either 0.508 0.492 0.220 0.780
robbery 0.750 0.250 0.250 0.750
served 0.485 0.515 0.515 0.485
maids 0.429 0.571 0.500 0.500
seating 0.750 0.250 0.500 0.500
accomidations 0.250 0.750 0.250 0.750
doll 0.600 0.400 0.600 0.400
pushy 0.200 0.800 0.200 0.800
tvs 0.636 0.364 0.818 0.182
images 0.200 0.800 0.200 0.800
cabs 0.875 0.125 0.625 0.375
gross 0.429 0.571 0.143 0.857
noon 0.833 0.167 0.500 0.500
overly 0.250 0.750 0.250 0.750
exit 0.500 0.500 0.250 0.750
23rd 0.667 0.333 0.500 0.500
claustrophobic 0.750 0.250 0.250 0.750
moderate 0.800 0.200 0.600 0.400
tubs 0.500 0.500 0.500 0.500
refer 0.800 0.200 0.200 0.800
caring 0.333 0.667 0.500 0.500
zest 0.600 0.400 0.800 0.200
intimate 0.600 0.400 0.400 0.600
seconds 0.600 0.400 0.600 0.400
fitness 0.339 0.661 0.597 0.403
notably 0.500 0.500 0.250 0.750
broken 0.697 0.303 0.030 0.970
hayseed 0.750 0.250 0.250 0.750
visits 0.571 0.429 0.571 0.429
luxurious 0.139 0.861 0.694 0.306
dumpy 0.750 0.250 0.250 0.750
william 0.750 0.250 0.250 0.750
package 0.333 0.667 0.667 0.333
industry 0.556 0.444 0.444 0.556
favorite 0.359 0.641 0.769 0.231
side 0.650 0.350 0.275 0.725
airline 0.625 0.375 0.625 0.375
neighbor 0.571 0.429 0.286 0.714
act 0.500 0.500 0.250 0.750
mixed 0.571 0.429 0.429 0.571
marriott 0.714 0.286 0.357 0.643
mean 0.467 0.533 0.467 0.533
road 0.667 0.333 0.556 0.444
decreased 0.750 0.250 0.250 0.750
airlines 0.750 0.250 0.500 0.500
lively 0.750 0.250 0.250 0.750
homeless 0.750 0.250 0.375 0.625
parties 0.500 0.500 0.167 0.833
technically 0.500 0.500 0.250 0.750
her 0.514 0.486 0.171 0.829
sides 0.800 0.200 0.400 0.600
strip 0.500 0.500 0.250 0.750
sealed 0.750 0.250 0.250 0.750
mornings 0.667 0.333 0.667 0.333
complete 0.519 0.481 0.333 0.667
sophisticated 0.222 0.778 0.778 0.222
e 0.812 0.188 0.312 0.688
waffle 0.750 0.250 0.750 0.250
pull 0.800 0.200 0.267 0.733
rush 0.562 0.438 0.625 0.375
october 0.875 0.125 0.625 0.375
arranged 0.611 0.389 0.333 0.667
romantic 0.267 0.733 0.467 0.533
celebrating 0.600 0.400 0.200 0.800
nearest 0.500 0.500 0.500 0.500
dirty 0.524 0.476 0.037 0.963
suitcase 0.444 0.556 0.333 0.667
agree 0.500 0.500 0.333 0.667
gone 0.522 0.478 0.261 0.739
ac 0.500 0.500 0.250 0.750
leaked 0.875 0.125 0.125 0.875
exhausted 0.333 0.667 0.333 0.667
certain 0.438 0.562 0.188 0.812
al 0.857 0.143 0.143 0.857
general 0.621 0.379 0.069 0.931
planetarium 0.500 0.500 0.750 0.250
file 0.857 0.143 0.143 0.857
girlfriend 0.667 0.333 0.167 0.833
watched 0.571 0.429 0.286 0.714
film 0.500 0.500 0.250 0.750
fill 0.500 0.500 0.500 0.500
yoga 0.222 0.778 0.778 0.222
personnel 0.556 0.444 0.556 0.444
floored 0.750 0.250 0.250 0.750
tight 0.714 0.286 0.429 0.571
2007 0.889 0.111 0.556 0.444
students 0.500 0.500 0.250 0.750
refunded 0.500 0.500 0.250 0.750
a+ 0.167 0.833 0.833 0.167
important 0.474 0.526 0.579 0.421
terry 0.500 0.500 0.750 0.250
brands 0.600 0.400 0.200 0.800
decorated 0.452 0.548 0.786 0.214
resembled 0.500 0.500 0.250 0.750
remote 0.438 0.562 0.125 0.875
unload 0.600 0.400 0.200 0.800
waived 0.750 0.250 0.750 0.250
hello 0.333 0.667 0.333 0.667
u 0.571 0.429 0.286 0.714
alright 0.455 0.545 0.273 0.727
deluxe 0.364 0.636 0.455 0.545
starting 0.444 0.556 0.333 0.667
original 0.714 0.286 0.286 0.714
forget 0.385 0.615 0.615 0.385
caused 0.333 0.667 0.222 0.778
beware 0.556 0.444 0.222 0.778
allergy 0.125 0.875 0.750 0.250
dollar 0.417 0.583 0.333 0.667
tours 0.400 0.600 0.600 0.400
fixtures 0.643 0.357 0.357 0.643
reluctant 0.400 0.600 0.600 0.400
careful 0.500 0.500 0.500 0.500
tv 0.592 0.408 0.544 0.456
chewing 0.250 0.750 0.250 0.750
dressing 0.800 0.200 0.400 0.600
smile 0.538 0.462 0.538 0.462
enjoying 0.200 0.800 0.300 0.700
hideous 0.600 0.400 0.200 0.800
ta 0.833 0.167 0.667 0.333
case 0.556 0.444 0.259 0.741
appointment 0.600 0.400 0.400 0.600
returned 0.727 0.273 0.364 0.636
returning 0.261 0.739 0.348 0.652
checkin 0.571 0.429 0.286 0.714
reader 0.750 0.250 0.250 0.750
patiently 0.250 0.750 0.500 0.500
heavenly 0.250 0.750 0.750 0.250
unkempt 0.250 0.750 0.250 0.750
affina 0.200 0.800 0.200 0.800
difference 0.556 0.444 0.333 0.667
condition 0.500 0.500 0.300 0.700
cable 0.500 0.500 0.250 0.750
celebrity 0.333 0.667 0.500 0.500
large 0.763 0.237 0.658 0.342
upmost 0.250 0.750 0.750 0.250
adjust 0.500 0.500 0.250 0.750
harry 0.400 0.600 0.600 0.400
fashion 0.500 0.500 0.250 0.750
20th 0.714 0.286 0.571 0.429
consultant 0.750 0.250 0.250 0.750
neighborhood 0.739 0.261 0.609 0.391
sync 0.750 0.250 0.250 0.750
past 0.512 0.488 0.279 0.721
burger 0.455 0.545 0.545 0.455
perspective 0.250 0.750 0.750 0.250
pass 0.462 0.538 0.615 0.385
further 0.500 0.500 0.286 0.714
situated 0.500 0.500 0.625 0.375
dial 0.500 0.500 0.250 0.750
stood 0.308 0.692 0.231 0.769
opted 0.800 0.200 0.600 0.400
clock 0.625 0.375 0.375 0.625
section 0.167 0.833 0.167 0.833
lakeshore 0.400 0.600 0.600 0.400
$249 0.750 0.250 0.250 0.750
plush 0.214 0.786 0.571 0.429
hasn 0.600 0.400 0.400 0.600
full 0.635 0.365 0.365 0.635
dissappointed 0.200 0.800 0.200 0.800
ranged 0.250 0.750 0.500 0.500
hours 0.434 0.566 0.193 0.807
cancelled 0.625 0.375 0.375 0.625
red 0.857 0.143 0.238 0.762
chillout 0.750 0.250 0.750 0.250
operating 0.800 0.200 0.400 0.600
november 0.833 0.167 0.500 0.500
awakened 0.333 0.667 0.333 0.667
osco 0.750 0.250 0.750 0.250
chipped 0.600 0.400 0.200 0.800
strewn 0.400 0.600 0.200 0.800
marijuana 0.200 0.800 0.200 0.800
prior 0.846 0.154 0.231 0.769
airport 0.636 0.364 0.424 0.576
slippers 0.500 0.500 0.429 0.571
pick 0.545 0.455 0.455 0.545
action 0.571 0.429 0.714 0.286
narrow 0.800 0.200 0.200 0.800
via 0.625 0.375 0.500 0.500
depart 0.600 0.400 0.200 0.800
buses 0.833 0.167 0.833 0.167
strolling 0.750 0.250 0.750 0.250
transit 0.200 0.800 0.800 0.200
earn 0.250 0.750 0.500 0.500
excellently 0.750 0.250 0.250 0.750
indoors 0.750 0.250 0.500 0.500
select 0.429 0.571 0.286 0.714
eye 0.417 0.583 0.333 0.667
conferences 0.500 0.500 0.250 0.750
distinct 0.500 0.500 0.250 0.750
destination 0.444 0.556 0.444 0.556
texting 0.200 0.800 0.200 0.800
gorgeous 0.343 0.657 0.800 0.200
tacky 0.556 0.444 0.222 0.778
diamond 0.500 0.500 0.400 0.600
alcove 0.750 0.250 0.500 0.500
reeked 0.429 0.571 0.286 0.714
corrected 0.778 0.222 0.222 0.778
particular 0.600 0.400 0.400 0.600
town 0.460 0.540 0.635 0.365
none 0.591 0.409 0.273 0.727
hour 0.398 0.602 0.274 0.726
ohare 0.750 0.250 0.750 0.250
recall 0.750 0.250 0.250 0.750
des 0.143 0.857 0.429 0.571
sucks 0.600 0.400 0.200 0.800
frustratingly 0.500 0.500 0.250 0.750
mall 0.917 0.083 0.833 0.167
escorted 0.500 0.500 0.500 0.500
waiters 0.667 0.333 0.500 0.500
learn 0.444 0.556 0.333 0.667
dec 0.833 0.167 0.833 0.167
marble 0.467 0.533 0.800 0.200
def 0.600 0.400 0.600 0.400
compare 0.500 0.500 0.667 0.333
prompt 0.438 0.562 0.812 0.188
stated 0.824 0.176 0.118 0.882
share 0.250 0.750 0.333 0.667
accept 0.250 0.750 0.250 0.750
allegro 0.396 0.604 0.528 0.472
states 0.750 0.250 0.250 0.750
minimum 0.571 0.429 0.143 0.857
salty 0.750 0.250 0.500 0.500
purchased 0.375 0.625 0.375 0.625
sense 0.444 0.556 0.222 0.778
sharp 0.250 0.750 0.250 0.750
dress 0.800 0.200 0.200 0.800
gino 0.750 0.250 0.250 0.750
information 0.571 0.429 0.286 0.714
needs 0.412 0.588 0.588 0.412
awkward 0.400 0.600 0.200 0.800
flawless 0.667 0.333 0.833 0.167
ihome 0.500 0.500 0.750 0.250
maps 0.400 0.600 0.400 0.600
glowing 0.800 0.200 0.200 0.800
intended 0.143 0.857 0.286 0.714
waitstaff 0.500 0.500 0.500 0.500
advice 0.600 0.400 0.400 0.600
treatments 0.111 0.889 0.889 0.111
sophistication 0.167 0.833 0.667 0.333
connectivity 0.250 0.750 0.500 0.500
plane 0.250 0.750 0.250 0.750
blood 0.500 0.500 0.300 0.700
coming 0.354 0.646 0.375 0.625
authentic 0.400 0.600 0.600 0.400
response 0.727 0.273 0.091 0.909
crowded 0.429 0.571 0.357 0.643
onto 0.692 0.308 0.231 0.769
toiletries 0.688 0.312 0.438 0.562
rowdy 0.250 0.750 0.250 0.750
inquire 0.667 0.333 0.167 0.833
overcooked 0.500 0.500 0.250 0.750
pleasure 0.429 0.571 0.750 0.250
playing 0.571 0.429 0.429 0.571
rottweiler 0.500 0.500 0.750 0.250
infant 0.500 0.500 0.500 0.500
stains 0.458 0.542 0.042 0.958
reminded 0.500 0.500 0.500 0.500
trade 0.571 0.429 0.429 0.571
attitude 0.478 0.522 0.174 0.826
paper 0.594 0.406 0.156 0.844
through 0.616 0.384 0.453 0.547
signs 0.800 0.200 0.400 0.600
smiling 0.500 0.500 0.750 0.250
its 0.540 0.460 0.444 0.556
arrogant 0.500 0.500 0.167 0.833
bummed 0.250 0.750 0.500 0.500
25 0.889 0.111 0.222 0.778
shock 0.750 0.250 0.250 0.750
27 0.600 0.400 0.600 0.400
20 0.605 0.395 0.186 0.814
shopper 0.750 0.250 0.250 0.750
22 0.800 0.200 0.400 0.600
29 0.800 0.200 0.600 0.400
late 0.588 0.412 0.382 0.618
upside 0.750 0.250 0.250 0.750
travelling 0.400 0.600 0.600 0.400
sauce 0.750 0.250 0.250 0.750
colleague 0.167 0.833 0.333 0.667
sisters 0.500 0.500 0.500 0.500
severely 0.231 0.769 0.077 0.923
walls 0.542 0.458 0.119 0.881
goop 0.250 0.750 0.250 0.750
complain 0.474 0.526 0.105 0.895
sucked 0.750 0.250 0.250 0.750
turndown 0.833 0.167 0.500 0.500
everytime 0.667 0.333 0.333 0.667
always 0.570 0.430 0.663 0.337
drake 0.909 0.091 0.636 0.364
dimed 0.429 0.571 0.429 0.571
1am 0.600 0.400 0.200 0.800
biscuits 0.750 0.250 0.750 0.250
exquisite 0.111 0.889 0.778 0.222
sterling 0.200 0.800 0.800 0.200
everyone 0.492 0.508 0.705 0.295
mental 0.500 0.500 0.250 0.750
house 0.400 0.600 0.553 0.447
hare 0.778 0.222 0.556 0.444
idea 0.500 0.500 0.250 0.750
police 0.333 0.667 0.167 0.833
valets 0.600 0.400 0.400 0.600
exorbitant 0.375 0.625 0.375 0.625
extended 0.500 0.500 0.500 0.500
connect 0.429 0.571 0.286 0.714
surly 0.667 0.333 0.167 0.833
hanging 0.571 0.429 0.143 0.857
blues 0.800 0.200 0.800 0.200
insurance 0.750 0.250 0.250 0.750
try 0.586 0.414 0.314 0.686
mattered 0.250 0.750 0.250 0.750
research 0.200 0.800 0.500 0.500
print 0.857 0.143 0.429 0.571
hangers 0.800 0.200 0.400 0.600
highway 0.800 0.200 0.200 0.800
bistro 0.200 0.800 0.800 0.200
pathetic 0.750 0.250 0.250 0.750
dealt 0.375 0.625 0.625 0.375
cockroach 0.500 0.500 0.167 0.833
pleasant 0.418 0.582 0.545 0.455
difficulty 0.500 0.500 0.250 0.750
rated 0.625 0.375 0.375 0.625
conditioning 0.235 0.765 0.176 0.824
members 0.526 0.474 0.684 0.316
imagine 0.579 0.421 0.316 0.684
laughable 0.750 0.250 0.250 0.750
definition 0.250 0.750 0.500 0.500
owners 0.500 0.500 0.333 0.667
benefits 0.600 0.400 0.400 0.600
friendliness 0.200 0.800 0.800 0.200
needing 0.500 0.500 0.250 0.750
conducted 0.250 0.750 0.500 0.500
w 0.933 0.067 0.467 0.533
bumper 0.750 0.250 0.250 0.750
$250 0.333 0.667 0.333 0.667
castle 0.250 0.750 0.750 0.250
trickle 0.600 0.400 0.200 0.800
arose 0.500 0.500 0.250 0.750
5pm 0.429 0.571 0.143 0.857
major 0.667 0.333 0.367 0.633
dont 0.667 0.333 0.250 0.750
number 0.519 0.481 0.259 0.741
utilized 0.500 0.500 0.500 0.500
done 0.441 0.559 0.407 0.593
approximately 0.833 0.167 0.167 0.833
cups 0.750 0.250 0.250 0.750
guess 0.457 0.543 0.086 0.914
guest 0.427 0.573 0.371 0.629
jet 0.143 0.857 0.429 0.571
introduction 0.750 0.250 0.250 0.750
twenty 0.364 0.636 0.091 0.909
5th 0.818 0.182 0.545 0.455
moderately 0.600 0.400 0.800 0.200
least 0.508 0.492 0.215 0.785
player 0.571 0.429 0.143 0.857
paint 0.667 0.333 0.200 0.800
statement 0.625 0.375 0.125 0.875
uncomfortably 0.625 0.375 0.125 0.875
listed 0.500 0.500 0.333 0.667
warmly 0.444 0.556 0.889 0.111
drapes 0.500 0.500 0.500 0.500
park 0.527 0.473 0.604 0.396
immediate 0.600 0.400 0.600 0.400
part 0.579 0.421 0.342 0.658
believe 0.362 0.638 0.404 0.596
stairs 0.636 0.364 0.182 0.818
grace 0.400 0.600 0.400 0.600
b 0.700 0.300 0.400 0.600
compliments 0.800 0.200 0.600 0.400
redone 0.400 0.600 0.400 0.600
gotten 0.500 0.500 0.250 0.750
getaway 0.378 0.622 0.514 0.486
determined 0.500 0.500 0.250 0.750
contrary 0.750 0.250 0.250 0.750
supposed 0.400 0.600 0.050 0.950
taxis 0.750 0.250 0.750 0.250
treated 0.417 0.583 0.521 0.479
urban 0.333 0.667 0.500 0.500
beforehand 0.500 0.500 0.500 0.500
showers 0.833 0.167 0.500 0.500
aged 0.500 0.500 0.500 0.500
odors 0.833 0.167 0.167 0.833
orders 0.500 0.500 0.667 0.333
built 0.667 0.333 0.333 0.667
dancing 0.500 0.500 0.750 0.250
self 0.727 0.273 0.636 0.364
click 0.750 0.250 0.500 0.500
gym 0.488 0.512 0.628 0.372
play 0.500 0.500 0.375 0.625
retired 0.250 0.750 0.750 0.250
eggs 0.333 0.667 0.417 0.583
serviced 0.600 0.400 0.200 0.800
charm 0.722 0.278 0.611 0.389
plan 0.406 0.594 0.625 0.375
significant 0.750 0.250 0.250 0.750
services 0.349 0.651 0.302 0.698
extremely 0.460 0.540 0.540 0.460
foyer 0.750 0.250 0.250 0.750
refrigerator 0.500 0.500 0.417 0.583
